doc_id,topic_0,topic_1,topic_2,topic_3,topic_4
0,0.11895628061754432,0.762481774924729,0.03038740098380935,0.0796474245983055,0.008527118875611807
1,0.05699771957337156,0.4813994741029281,0.3208412053821102,0.0987448519825436,0.04201674895904663
2,0.20722589782919504,0.5780120875263225,0.02782028920460069,0.17883887640965715,0.008102849030224811
3,0.1757841233872669,0.6112359496086855,0.03049602764608129,0.17927459315012065,0.003209306207845555
4,0.04859458756479728,0.882438452471956,0.010569355169891352,0.0583976047933555,0.0
5,0.030083162452037033,0.33449338268146056,0.02858257162075366,0.602101584607949,0.004739298637799705
6,0.0,1.0,0.0,0.0,0.0
7,0.5740420217848101,0.31538287103122453,0.11057510718396532,0.0,0.0
8,0.36112525324571637,0.5179531880618294,0.07176856688529042,0.04915299180716371,0.0
9,0.283559299970389,0.5313678107986693,0.05809691850543404,0.12697597072550765,0.0
10,0.22446706569172462,0.6364303307795688,0.05673967288876316,0.08236293063994342,0.0
11,0.37567720716152914,0.4550865290293108,0.07428342051210646,0.09484743730781069,0.00010540598924307016
12,0.9444970908238154,0.05550290917618468,0.0,0.0,0.0
13,0.1423380752740763,0.4634401190112315,0.03319844598170865,0.35795616279503484,0.003067196937948737
14,0.14070809036775836,0.8325468369229464,0.02674507270929537,0.0,0.0
15,0.1796384150258435,0.4353431940800912,0.13187468847861072,0.25227365291912957,0.0008700494963250813
16,0.42569725532537933,0.5151918424166154,0.024244697515267727,0.022081081478637025,0.012785123264100563
17,0.3373780651552137,0.01771635467066701,0.10239619848698697,0.5420962481783912,0.0004131335087413821
18,0.5560464206525583,0.3263501458025642,0.11066835867422209,0.006935074870655319,0.0
19,0.6268834407992954,0.21490374746498658,0.0725635703040951,0.08564924143162289,0.0
20,0.5828554362625383,0.30430770790240663,0.11283685583505502,0.0,0.0
21,0.5619329132373518,0.3192879217107366,0.09666436992200589,0.02039121513806721,0.0017235799918384775
22,0.5917562509576307,0.2708207380948784,0.06893350035065869,0.06742313094750614,0.0010663796493259636
23,0.9987581946744247,0.0,0.0,0.0012418053255752448,0.0
24,0.4059957332667364,0.4770601371436128,0.08660282767369634,0.02472097707614942,0.005620324839805111
25,0.4743419897569909,0.4627207328996177,0.05098880131231325,0.011948476031078178,0.0
26,0.5543927553729691,0.3112298512885708,0.09195136567066567,0.032496949398583934,0.009929078269210629
27,0.5208070612447522,0.17829323389940369,0.05693408079941506,0.2432938998887614,0.0006717241676677488
28,0.033812036204065296,0.02191437619354299,0.9267340948266756,0.01693003544454225,0.0006094573311739753
